char,radical
海,氵
河,氵
湖,氵
清,氵
源,氵
洋,氵
渚,氵
渡,氵
淳,氵
温,氵
港,氵
理,王
珠,王
現,王
球,王
瑛,王
瑞,王
悟,忄
悠,忄
怜,忄
慎,忄
愛,忄
拓,扌
採,扌
推,扌
揚,扌
援,扌
猫,犭
猪,犭
狼,犭
独,犭
狩,犭
宏,宀
宙,宀
安,宀
実,宀
宮,宀
英,艹
葵,艹
華,艹
菜,艹
茉,艹
茂,艹
萌,艹
蓮,艹
結,糸
綾,糸
維,糸
絢,糸
紗,糸
純,糸
緑,糸
粋,米
粧,米
粗,米
胸,⺼
胃,⺼
腸,⺼
脩,⺼
迅,辵
迎,辵
連,辵
進,辵
隆,阜
陽,阜
階,阜
陣,阜
阿,阜
郎,邑
那,邑
郁,邑
邦,邑
鶴,鳥
鷹,鳥
鳩,鳥
鯛,魚
鯉,魚
鮎,魚
笑,⺮
策,⺮
筒,⺮
篤,⺮
裕,衤
補,衤
祐,礻
祥,礻
神,礻
福,礻
朗,月(右)
角,角
触,角
身,身
雷,雨
霞,雨
霧,雨
露,雨
登,癶
発,癶
矢,矢
既,旡
禹,禸
魁,鬼(下部)
魅,鬼(下部)
彗,彐
