radical,strokes_custom,aliases
さんずい,4,氵|水
ひへん,4,火
こへん,3,子
うかんむり,3,宀
しかばね,3,尸
えんにょう,3,廴
ゆみへん,3,弓
りっしんべん,4,忄|心
てへん,4,扌|手
けものへん,4,犭|犬
かたへん,4,片
つきへん,4,月(右)
しょうへん,4,爿
たまへん,5,王|玉|⺩
しめすへん,5,示|礻
やまいだれ,5,疒
ころもへん,6,衤|衣
いとへん,6,糸|糹
くさかんむり,6,艹|草
にくづき,6,⺼|月(左)
しんにょう,7,辵|⻌|⻍
おおざと,7,阝(右)|邑
こざとへん,8,阝(左)|阜
つのへん,7,角
ごんべん,7,言|訁
みへん,7,身
とりへん,7,鳥|⻦
うおへん,11,魚
たけかんむり,6,⺮|竹
ほとぎ,6,缶
こめへん,6,米
おいかんむり・おいがしら,6,⺹|老
むしへん,6,虫
むじなへん,7,豸
あめかんむり,8,雨
しょくへん（飠）,8,飠
しょくへん（𩙿）,9,𩙿
ばくにょう,11,麦
けいがしら,3,彐|彑
はつがしら,5,癶
やへん,5,矢
すでのつくり,5,旡
ぐうのあし,5,禸
きにょう,10,鬼(下部)
